('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         635329 function calls (610448 primitive calls) in 1.100 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      149    0.549    0.004    0.549    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.038    0.038    0.038    0.038 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.036    0.036    0.036    0.036 {method 'connect' of '_socket.socket' objects}
 3452/234    0.030    0.000    0.086    0.000 sre_parse.py:494(_parse)
 4507/195    0.017    0.000    0.047    0.000 sre_compile.py:87(_compile)
      242    0.017    0.000    0.017    0.000 {built-in method marshal.loads}
     1007    0.015    0.000    0.019    0.000 sre_compile.py:292(_optimize_charset)
       26    0.012    0.000    0.013    0.001 {built-in method _imp.create_dynamic}
     1273    0.010    0.000    0.049    0.000 parser.py:300(parse_starttag)
     1233    0.010    0.000    0.010    0.000 {built-in method posix.stat}
      346    0.010    0.000    0.010    0.000 {built-in method io.open_code}
    23718    0.009    0.000    0.009    0.000 sre_parse.py:234(__next)
    12113    0.009    0.000    0.009    0.000 {method 'match' of 're.Pattern' objects}
69818/69798    0.009    0.000    0.011    0.000 {built-in method builtins.isinstance}
  745/723    0.009    0.000    0.107    0.000 {built-in method builtins.__build_class__}
        1    0.008    0.008    0.008    0.008 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    25875    0.008    0.000    0.011    0.000 sre_parse.py:165(__getitem__)
        2    0.008    0.004    0.081    0.040 parser.py:133(goahead)
 4789/650    0.007    0.000    0.010    0.000 sre_parse.py:175(getwidth)
58589/53045    0.007    0.000    0.008    0.000 {built-in method builtins.len}
    65037    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
 1364/196    0.006    0.000    0.087    0.000 sre_parse.py:436(_parse_sub)
     1274    0.005    0.000    0.013    0.000 element.py:1180(__init__)
        1    0.005    0.005    0.005    0.005 {built-in method _scproxy._get_proxies}
    15625    0.005    0.000    0.011    0.000 sre_parse.py:255(get)
      578    0.004    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
    297/1    0.004    0.000    1.100    1.100 {built-in method builtins.exec}
        1    0.004    0.004    0.032    0.032 dammit.py:70(_populate_class_variables)
     1273    0.004    0.000    0.021    0.000 __init__.py:694(handle_starttag)
      935    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x10c1eac70}
     1273    0.003    0.000    0.026    0.000 _htmlparser.py:122(handle_starttag)
2202/1370    0.003    0.000    0.008    0.000 element.py:2192(_matches)
      965    0.003    0.000    0.006    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
    12018    0.003    0.000    0.006    0.000 sre_parse.py:250(match)
     1204    0.003    0.000    0.016    0.000 parser.py:385(parse_endtag)
      149    0.003    0.000    0.003    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      346    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
     1374    0.003    0.000    0.014    0.000 element.py:2096(search_tag)
      101    0.003    0.000    0.003    0.000 {built-in method posix.getcwd}
     3718    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
    11373    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     6227    0.003    0.000    0.003    0.000 sre_parse.py:173(append)
     1274    0.003    0.000    0.003    0.000 __init__.py:544(pushTag)
    10376    0.003    0.000    0.004    0.000 sre_parse.py:161(__len__)
     4962    0.003    0.000    0.004    0.000 _markupbase.py:44(updatepos)
     1273    0.003    0.000    0.005    0.000 __init__.py:660(_popToTag)
     2140    0.003    0.000    0.003    0.000 element.py:157(setup)
      472    0.002    0.000    0.003    0.000 css_types.py:40(__init__)
     3641    0.002    0.000    0.005    0.000 typing.py:986(__setattr__)
     3057    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     3057    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       25    0.002    0.000    0.005    0.000 enum.py:180(__new__)
